Namespace(GPU_id='1', adam_alpha=0.9, adam_beta=0.999, batch_size=64, caption_length_max=100, class_num=11000, cr_beta=0.1, dataroot='../dataset/CUHK-PEDES', dataset='CUHK-PEDES', device=device(type='cuda', index=1), epoch=60, epoch_decay=[20, 40], feature_length=1024, last_lstm=False, lr=0.001, margin=0.2, mode='train', model_name='MFNI_bert_stride3', part=6, pkl_root='../dataset/CUHK-PEDES/bert_processed_data/', resume='restart', save_path='./checkpoints/CUHK-PEDES/MFNI_bert_stride3', stride=1, vocab_size=5000, wordtype='bert')
lr:0.001
lr:0.0001
Epoch: 5/60 Setp: 800, ranking_loss: 7.22, id_loss: 10.90, mn_loss: 0.48777
Epoch: 5/60 Setp: 850, ranking_loss: 7.23, id_loss: 9.20, mn_loss: 0.43831
Epoch: 5/60 Setp: 900, ranking_loss: 9.25, id_loss: 10.88, mn_loss: 0.41179
Epoch: 5/60 Setp: 950, ranking_loss: 6.28, id_loss: 9.61, mn_loss: 0.40786
Epoch: 5/60 Setp: 1000, ranking_loss: 7.42, id_loss: 9.20, mn_loss: 0.42455
Epoch: 5/60 Setp: 1050, ranking_loss: 8.79, id_loss: 9.03, mn_loss: 0.48472
Epoch: 5/60 , ranking_loss: 7.11, id_loss: 9.02, mn_loss: 0.41556
lr:0.001
lr:0.0001
Epoch: 6/60 Setp: 50, ranking_loss: 6.30, id_loss: 8.05, mn_loss: 0.38179
Epoch: 6/60 Setp: 100, ranking_loss: 5.11, id_loss: 7.09, mn_loss: 0.32908
Epoch: 6/60 Setp: 150, ranking_loss: 6.00, id_loss: 7.52, mn_loss: 0.44444
Epoch: 6/60 Setp: 200, ranking_loss: 6.94, id_loss: 8.01, mn_loss: 0.36351
Epoch: 6/60 Setp: 250, ranking_loss: 7.06, id_loss: 7.87, mn_loss: 0.53578
Epoch: 6/60 Setp: 300, ranking_loss: 5.02, id_loss: 7.22, mn_loss: 0.38825
Epoch: 6/60 Setp: 350, ranking_loss: 7.51, id_loss: 7.50, mn_loss: 0.36438
Epoch: 6/60 Setp: 400, ranking_loss: 7.33, id_loss: 7.11, mn_loss: 0.34260
Epoch: 6/60 Setp: 450, ranking_loss: 7.24, id_loss: 8.11, mn_loss: 0.43279
Epoch: 6/60 Setp: 500, ranking_loss: 7.89, id_loss: 8.29, mn_loss: 0.36854
Epoch: 6/60 Setp: 550, ranking_loss: 6.37, id_loss: 8.54, mn_loss: 0.33987
Epoch: 6/60 Setp: 600, ranking_loss: 6.62, id_loss: 7.90, mn_loss: 0.38085
Epoch: 6/60 Setp: 650, ranking_loss: 7.35, id_loss: 8.06, mn_loss: 0.43128
Epoch: 6/60 Setp: 700, ranking_loss: 5.71, id_loss: 9.27, mn_loss: 0.30350
Epoch: 6/60 Setp: 750, ranking_loss: 6.46, id_loss: 8.33, mn_loss: 0.29057
Epoch: 6/60 Setp: 800, ranking_loss: 6.19, id_loss: 7.14, mn_loss: 0.40039
Epoch: 6/60 Setp: 850, ranking_loss: 6.60, id_loss: 8.21, mn_loss: 0.41560
Epoch: 6/60 Setp: 900, ranking_loss: 4.88, id_loss: 7.84, mn_loss: 0.25054
Epoch: 6/60 Setp: 950, ranking_loss: 4.98, id_loss: 7.10, mn_loss: 0.24612
Epoch: 6/60 Setp: 1000, ranking_loss: 7.08, id_loss: 7.26, mn_loss: 0.43707
Epoch: 6/60 Setp: 1050, ranking_loss: 7.71, id_loss: 8.31, mn_loss: 0.53956
Epoch: 6/60 , ranking_loss: 6.55, id_loss: 7.84, mn_loss: 0.38236
lr:0.001
lr:0.0001
Epoch: 7/60 Setp: 50, ranking_loss: 4.87, id_loss: 5.56, mn_loss: 0.47078
Epoch: 7/60 Setp: 100, ranking_loss: 6.20, id_loss: 5.74, mn_loss: 0.20620
Epoch: 7/60 Setp: 150, ranking_loss: 7.05, id_loss: 6.84, mn_loss: 0.25938
Epoch: 7/60 Setp: 200, ranking_loss: 6.13, id_loss: 6.93, mn_loss: 0.90790
Epoch: 7/60 Setp: 250, ranking_loss: 4.60, id_loss: 6.69, mn_loss: 0.21741
Epoch: 7/60 Setp: 300, ranking_loss: 6.90, id_loss: 6.43, mn_loss: 0.27934
Epoch: 7/60 Setp: 350, ranking_loss: 5.09, id_loss: 6.76, mn_loss: 0.21274
Epoch: 7/60 Setp: 400, ranking_loss: 4.91, id_loss: 6.17, mn_loss: 0.33619
Epoch: 7/60 Setp: 450, ranking_loss: 7.14, id_loss: 6.45, mn_loss: 0.32664
Epoch: 7/60 Setp: 500, ranking_loss: 6.74, id_loss: 6.57, mn_loss: 0.28797
Epoch: 7/60 Setp: 550, ranking_loss: 7.62, id_loss: 7.85, mn_loss: 0.32169
Epoch: 7/60 Setp: 600, ranking_loss: 6.82, id_loss: 6.93, mn_loss: 0.31081
Epoch: 7/60 Setp: 650, ranking_loss: 6.06, id_loss: 6.87, mn_loss: 0.32776
Epoch: 7/60 Setp: 700, ranking_loss: 5.49, id_loss: 7.31, mn_loss: 0.32495
Epoch: 7/60 Setp: 750, ranking_loss: 5.31, id_loss: 6.42, mn_loss: 0.36149
Epoch: 7/60 Setp: 800, ranking_loss: 7.18, id_loss: 7.68, mn_loss: 0.35561
Epoch: 7/60 Setp: 850, ranking_loss: 6.51, id_loss: 8.16, mn_loss: 0.38140
Epoch: 7/60 Setp: 900, ranking_loss: 7.48, id_loss: 6.37, mn_loss: 0.35560
Epoch: 7/60 Setp: 950, ranking_loss: 5.06, id_loss: 6.54, mn_loss: 0.16434
Epoch: 7/60 Setp: 1000, ranking_loss: 5.50, id_loss: 5.77, mn_loss: 0.25360
Epoch: 7/60 Setp: 1050, ranking_loss: 6.64, id_loss: 7.26, mn_loss: 0.15301
Epoch: 7/60 , ranking_loss: 6.05, id_loss: 6.85, mn_loss: 0.29487
lr:0.001
lr:0.0001
Epoch: 8/60 Setp: 50, ranking_loss: 3.94, id_loss: 5.09, mn_loss: 0.13330
Epoch: 8/60 Setp: 100, ranking_loss: 4.75, id_loss: 4.93, mn_loss: 0.25349
Epoch: 8/60 Setp: 150, ranking_loss: 4.13, id_loss: 4.78, mn_loss: 0.18757
Epoch: 8/60 Setp: 200, ranking_loss: 4.69, id_loss: 5.47, mn_loss: 0.10611
Epoch: 8/60 Setp: 250, ranking_loss: 5.42, id_loss: 5.71, mn_loss: 0.24245
Epoch: 8/60 Setp: 300, ranking_loss: 6.25, id_loss: 6.55, mn_loss: 0.14626
Epoch: 8/60 Setp: 350, ranking_loss: 4.71, id_loss: 5.45, mn_loss: 0.18408
Epoch: 8/60 Setp: 400, ranking_loss: 5.05, id_loss: 4.87, mn_loss: 0.18491
Epoch: 8/60 Setp: 450, ranking_loss: 5.43, id_loss: 5.97, mn_loss: 0.27202
Epoch: 8/60 Setp: 500, ranking_loss: 4.74, id_loss: 5.77, mn_loss: 0.34465
Epoch: 8/60 Setp: 550, ranking_loss: 8.53, id_loss: 6.60, mn_loss: 0.17693
Epoch: 8/60 Setp: 600, ranking_loss: 8.07, id_loss: 6.86, mn_loss: 0.25810
Epoch: 8/60 Setp: 650, ranking_loss: 5.99, id_loss: 6.62, mn_loss: 0.28486
Epoch: 8/60 Setp: 700, ranking_loss: 6.21, id_loss: 6.88, mn_loss: 0.12911
Epoch: 8/60 Setp: 750, ranking_loss: 7.05, id_loss: 5.84, mn_loss: 0.58694
Epoch: 8/60 Setp: 800, ranking_loss: 7.37, id_loss: 7.28, mn_loss: 0.15748
Epoch: 8/60 Setp: 850, ranking_loss: 5.86, id_loss: 6.84, mn_loss: 0.30611
Epoch: 8/60 Setp: 900, ranking_loss: 7.57, id_loss: 7.10, mn_loss: 0.12200
Epoch: 8/60 Setp: 950, ranking_loss: 3.89, id_loss: 6.58, mn_loss: 0.17028
Epoch: 8/60 Setp: 1000, ranking_loss: 7.40, id_loss: 6.94, mn_loss: 0.45611
Epoch: 8/60 Setp: 1050, ranking_loss: 3.64, id_loss: 5.32, mn_loss: 0.10468
Epoch: 8/60 , ranking_loss: 5.54, id_loss: 6.02, mn_loss: 0.23154
lr:0.001
lr:0.0001
Epoch: 9/60 Setp: 50, ranking_loss: 5.08, id_loss: 4.72, mn_loss: 0.21425
Epoch: 9/60 Setp: 100, ranking_loss: 3.80, id_loss: 4.29, mn_loss: 0.21404
Epoch: 9/60 Setp: 150, ranking_loss: 4.35, id_loss: 4.19, mn_loss: 0.19509
Epoch: 9/60 Setp: 200, ranking_loss: 5.54, id_loss: 4.33, mn_loss: 0.19013
Epoch: 9/60 Setp: 250, ranking_loss: 4.67, id_loss: 4.14, mn_loss: 0.14039
Epoch: 9/60 Setp: 300, ranking_loss: 6.73, id_loss: 5.55, mn_loss: 0.47209
Epoch: 9/60 Setp: 350, ranking_loss: 5.08, id_loss: 4.64, mn_loss: 0.26030
Epoch: 9/60 Setp: 400, ranking_loss: 6.79, id_loss: 5.61, mn_loss: 0.06330
Epoch: 9/60 Setp: 450, ranking_loss: 4.40, id_loss: 6.35, mn_loss: 0.22866
Epoch: 9/60 Setp: 500, ranking_loss: 4.19, id_loss: 5.71, mn_loss: 0.23961
Epoch: 9/60 Setp: 550, ranking_loss: 7.65, id_loss: 6.14, mn_loss: 0.37671
Epoch: 9/60 Setp: 600, ranking_loss: 5.30, id_loss: 4.19, mn_loss: 0.35326
Epoch: 9/60 Setp: 650, ranking_loss: 6.57, id_loss: 6.09, mn_loss: 0.24583
Epoch: 9/60 Setp: 700, ranking_loss: 4.89, id_loss: 6.23, mn_loss: 0.18525
Epoch: 9/60 Setp: 750, ranking_loss: 5.79, id_loss: 6.33, mn_loss: 0.15028
Epoch: 9/60 Setp: 800, ranking_loss: 4.69, id_loss: 4.94, mn_loss: 0.08430
Epoch: 9/60 Setp: 850, ranking_loss: 5.21, id_loss: 4.78, mn_loss: 0.19024
Epoch: 9/60 Setp: 900, ranking_loss: 5.09, id_loss: 5.32, mn_loss: 0.23853
Epoch: 9/60 Setp: 950, ranking_loss: 5.45, id_loss: 5.39, mn_loss: 0.15670
Epoch: 9/60 Setp: 1000, ranking_loss: 5.62, id_loss: 6.89, mn_loss: 0.30234
Epoch: 9/60 Setp: 1050, ranking_loss: 5.48, id_loss: 4.90, mn_loss: 0.26201
Epoch: 9/60 , ranking_loss: 5.25, id_loss: 5.33, mn_loss: 0.21143
lr:0.001
lr:0.0001
Epoch: 10/60 Setp: 50, ranking_loss: 4.89, id_loss: 4.40, mn_loss: 0.12962
Epoch: 10/60 Setp: 100, ranking_loss: 4.21, id_loss: 3.54, mn_loss: -0.00325
Epoch: 10/60 Setp: 150, ranking_loss: 3.83, id_loss: 3.70, mn_loss: 0.17410
Epoch: 10/60 Setp: 200, ranking_loss: 7.26, id_loss: 4.53, mn_loss: 0.22474
Epoch: 10/60 Setp: 250, ranking_loss: 5.25, id_loss: 3.98, mn_loss: 0.22350
Epoch: 10/60 Setp: 300, ranking_loss: 5.74, id_loss: 3.94, mn_loss: 0.17289
Epoch: 10/60 Setp: 350, ranking_loss: 4.61, id_loss: 5.02, mn_loss: 0.30208
Epoch: 10/60 Setp: 400, ranking_loss: 5.24, id_loss: 6.92, mn_loss: 0.14750
Epoch: 10/60 Setp: 450, ranking_loss: 5.17, id_loss: 4.67, mn_loss: 0.17231
Epoch: 10/60 Setp: 500, ranking_loss: 5.87, id_loss: 4.59, mn_loss: 0.15076
Epoch: 10/60 Setp: 550, ranking_loss: 4.27, id_loss: 4.91, mn_loss: 0.08738
Epoch: 10/60 Setp: 600, ranking_loss: 3.42, id_loss: 4.26, mn_loss: 0.27325
Epoch: 10/60 Setp: 650, ranking_loss: 5.48, id_loss: 4.39, mn_loss: 0.17559
Epoch: 10/60 Setp: 700, ranking_loss: 5.88, id_loss: 6.14, mn_loss: 0.12699
Epoch: 10/60 Setp: 750, ranking_loss: 6.39, id_loss: 5.06, mn_loss: 0.13775
Epoch: 10/60 Setp: 800, ranking_loss: 3.38, id_loss: 5.36, mn_loss: 0.16750
Epoch: 10/60 Setp: 850, ranking_loss: 3.05, id_loss: 4.13, mn_loss: 0.14951
Epoch: 10/60 Setp: 900, ranking_loss: 4.64, id_loss: 5.01, mn_loss: 0.30166
Epoch: 10/60 Setp: 950, ranking_loss: 4.41, id_loss: 4.96, mn_loss: 0.10883
Epoch: 10/60 Setp: 1000, ranking_loss: 4.63, id_loss: 4.16, mn_loss: 0.09323
Epoch: 10/60 Setp: 1050, ranking_loss: 5.77, id_loss: 6.92, mn_loss: 0.25683
Epoch: 10/60 , ranking_loss: 4.91, id_loss: 4.70, mn_loss: 0.18740
lr:0.001
lr:0.0001
Epoch: 11/60 Setp: 50, ranking_loss: 3.80, id_loss: 5.45, mn_loss: 0.16906
Epoch: 11/60 Setp: 100, ranking_loss: 2.89, id_loss: 2.55, mn_loss: 0.09116
Epoch: 11/60 Setp: 150, ranking_loss: 3.25, id_loss: 4.06, mn_loss: 0.09469
Epoch: 11/60 Setp: 200, ranking_loss: 5.39, id_loss: 3.58, mn_loss: 0.09309
Epoch: 11/60 Setp: 250, ranking_loss: 4.20, id_loss: 4.91, mn_loss: 0.17429
Epoch: 11/60 Setp: 300, ranking_loss: 5.95, id_loss: 3.74, mn_loss: 0.18194
Epoch: 11/60 Setp: 350, ranking_loss: 5.52, id_loss: 3.74, mn_loss: 0.24214
Epoch: 11/60 Setp: 400, ranking_loss: 3.85, id_loss: 4.07, mn_loss: 0.11087
Epoch: 11/60 Setp: 450, ranking_loss: 5.93, id_loss: 3.79, mn_loss: 0.30800
Epoch: 11/60 Setp: 500, ranking_loss: 4.00, id_loss: 3.90, mn_loss: 0.09631
Epoch: 11/60 Setp: 550, ranking_loss: 5.97, id_loss: 4.61, mn_loss: 0.30858
Epoch: 11/60 Setp: 600, ranking_loss: 4.95, id_loss: 4.39, mn_loss: 0.10790
Epoch: 11/60 Setp: 650, ranking_loss: 4.50, id_loss: 3.50, mn_loss: 0.12679
Epoch: 11/60 Setp: 700, ranking_loss: 5.61, id_loss: 4.78, mn_loss: 0.18856
Epoch: 11/60 Setp: 750, ranking_loss: 6.49, id_loss: 5.05, mn_loss: 0.34368
Epoch: 11/60 Setp: 800, ranking_loss: 5.29, id_loss: 4.81, mn_loss: 0.06190
Epoch: 11/60 Setp: 850, ranking_loss: 4.65, id_loss: 4.30, mn_loss: 0.18037
Epoch: 11/60 Setp: 900, ranking_loss: 3.94, id_loss: 4.26, mn_loss: 0.12562
Epoch: 11/60 Setp: 950, ranking_loss: 5.20, id_loss: 3.80, mn_loss: 0.10820
Epoch: 11/60 Setp: 1000, ranking_loss: 3.33, id_loss: 5.56, mn_loss: 0.16393
Epoch: 11/60 Setp: 1050, ranking_loss: 4.52, id_loss: 5.00, mn_loss: 0.05065
Epoch: 11/60 , ranking_loss: 4.64, id_loss: 4.27, mn_loss: 0.16703
lr:0.001
lr:0.0001
Epoch: 12/60 Setp: 50, ranking_loss: 4.24, id_loss: 2.93, mn_loss: 0.21763
Epoch: 12/60 Setp: 100, ranking_loss: 6.11, id_loss: 4.13, mn_loss: 0.36389
Epoch: 12/60 Setp: 150, ranking_loss: 3.47, id_loss: 3.13, mn_loss: 0.11267
Epoch: 12/60 Setp: 200, ranking_loss: 3.19, id_loss: 4.39, mn_loss: 0.20043
Epoch: 12/60 Setp: 250, ranking_loss: 4.33, id_loss: 2.44, mn_loss: 0.11587
Epoch: 12/60 Setp: 300, ranking_loss: 5.20, id_loss: 4.05, mn_loss: 0.13919
Epoch: 12/60 Setp: 350, ranking_loss: 5.14, id_loss: 4.35, mn_loss: 0.04660
Epoch: 12/60 Setp: 400, ranking_loss: 5.36, id_loss: 4.70, mn_loss: 0.21838
Epoch: 12/60 Setp: 450, ranking_loss: 4.79, id_loss: 4.23, mn_loss: 0.25345
Epoch: 12/60 Setp: 500, ranking_loss: 2.58, id_loss: 3.75, mn_loss: 0.20544
Epoch: 12/60 Setp: 550, ranking_loss: 5.34, id_loss: 5.30, mn_loss: 0.32605
Epoch: 12/60 Setp: 600, ranking_loss: 4.60, id_loss: 2.98, mn_loss: 0.07217
